review_row,source_line,x,y,measured_cm,radius_px,nearest_neighbor_px,median_8_neighbor_px,local_neighbor_median_cm,local_residual_cm,abs_local_residual_cm,local_mad_cm,robust_z_vs_neighbors,repair_note
379,379,-147,-186,169.02,237.0759372015642,2.23606797749979,3.9240959812916367,180.45,-11.429999999999978,11.429999999999978,19.049999999999997,0.40469445568595647,
381,381,-149,-189,184.26,240.66989840858787,0.0,3.2169892001050897,172.83,11.429999999999978,11.429999999999978,19.049999999999997,0.40469445568595647,
391,391,138,122,57.895,184.19554826325202,4.123105625617661,18.68033988749895,47.1,10.795000000000002,10.795000000000002,11.43,0.6370190506167844,
28,29,-140,167,110.6,217.91970998512272,1.0,2.23606797749979,121.395,-10.795000000000002,10.795000000000002,7.6200000000000045,0.955528575925176,
390,390,33,-169,45.195,172.19175357722565,17.204650534085253,27.955918142609455,55.989999999999995,-10.794999999999995,10.794999999999995,14.605000000000004,0.49853664830878736,
338,338,24,-205,73.77,206.40009689920205,6.708203932499369,17.915407711472092,83.93,-10.16000000000001,10.16000000000001,17.78,0.3854232911294833,
252,253,86,88,16.62,123.0447073221762,10.295630140987,31.57164260315841,26.78,-10.16,10.16,10.16,0.6744907594765952,
196,197,-162,152,143.62,222.14409737825582,1.4142135623730951,4.621320343559642,153.78,-10.159999999999997,10.159999999999997,15.239999999999995,0.44966050631773014,
269,270,197,162,125.84,255.05489605181077,2.23606797749979,6.597707241520579,136.0,-10.159999999999997,10.159999999999997,16.509999999999998,0.41507123660098155,
212,213,-5,246,179.18,246.05080776132397,1.0,3.2169892001050897,189.34,-10.159999999999997,10.159999999999997,16.510000000000005,0.4150712366009814,
52,53,-148,184,196.96,236.13555429032706,1.0,1.4142135623730951,207.12,-10.159999999999997,10.159999999999997,6.984999999999999,0.9810774683295928,
266,267,189,156,108.06,245.0652974209119,5.0,10.1478150704935,118.22,-10.159999999999997,10.159999999999997,16.510000000000005,0.4150712366009814,
220,221,-6,230,125.84,230.07824755939012,1.4142135623730951,5.5,136.0,-10.159999999999997,10.159999999999997,16.509999999999998,0.41507123660098155,
201,202,-166,156,174.1,227.7981562699751,1.0,2.118033988749895,184.26,-10.159999999999997,10.159999999999997,16.510000000000005,0.4150712366009814,
185,186,-146,134,75.04,198.17164277464119,4.47213595499958,10.315072906367325,85.19999999999999,-10.159999999999982,10.159999999999982,15.240000000000002,0.4496605063177293,
215,216,-7,240,158.86,240.10206163213175,1.4142135623730951,5.22383047297721,169.01999999999998,-10.159999999999968,10.159999999999968,16.510000000000005,0.4150712366009802,
45,46,-149,177,171.56,231.36551169091732,1.0,1.7071067811865475,162.035,9.525000000000006,9.525000000000006,7.9375,0.8093889113719147,
41,42,-149,175,156.32,229.83907413666634,0.0,2.118033988749895,165.845,-9.525000000000006,9.525000000000006,8.89,0.722668670867781,
227,228,-8,213,87.74,213.15018179677915,4.0,7.041381265149109,97.265,-9.525000000000006,9.525000000000006,6.350000000000001,1.0117361392148931,
47,48,-149,178,179.18,232.13142829009604,1.0,2.618033988749895,169.655,9.525000000000006,9.525000000000006,7.6200000000000045,0.843113449345744,
50,51,-146,183,189.34,234.10467744152402,1.0,2.23606797749979,198.865,-9.525000000000006,9.525000000000006,6.3500000000000085,1.011736139214892,
337,337,21,-199,67.42,200.10497245196083,6.708203932499369,18.624228365658293,76.945,-9.524999999999991,9.524999999999991,17.78,0.36133433543388993,
214,215,-6,241,166.48,241.07467722678797,1.4142135623730951,4.549509756796392,175.37,-8.890000000000015,8.890000000000015,16.50999999999999,0.36318733202585973,
68,69,-20,243,174.1,243.82165613415063,0.0,1.7071067811865475,182.99,-8.890000000000015,8.890000000000015,13.969999999999999,0.4292213923941977,
216,217,-6,239,153.78,239.07530194480566,1.4142135623730951,5.5,162.67000000000002,-8.890000000000015,8.890000000000015,16.510000000000005,0.36318733202585946,
280,281,212,171,194.42000000000002,272.3692346796899,1.0,2.9208096264818897,185.53,8.890000000000015,8.890000000000015,10.159999999999997,0.590179414542022,
153,154,-182,5,54.72,182.0686683644388,3.0,9.634710039206889,63.61,-8.89,8.89,5.080000000000005,1.1803588290840406,
