review_row,source_line,x,y,radius_px,angle_deg,measured_cm,radius_roll_median_cm,radius_residual_cm,repair_note
302,302,151.0,-197.0,248.21361767638777,-52.529926777687564,108.06,156.32,-48.25999999999999,
346,346,25.0,-244.0,245.27739398485136,-84.14994479428262,133.46,179.18,-45.72,
221,222,-7.0,229.0,229.10696191953662,91.75085418654284,120.76,166.48,-45.719999999999985,
354,354,25.0,-261.0,262.1945842308723,-84.52859089040416,194.42000000000002,151.24,43.18000000000001,
345,345,24.0,-240.0,241.19701490690136,-84.28940686250037,125.84,169.02,-43.18000000000001,
353,353,25.0,-258.0,259.20841035738016,-84.46536263798585,186.8,143.62,43.18000000000001,
355,355,26.0,-262.0,263.28691574022434,-84.33271432176086,202.04,158.86,43.17999999999998,
220,221,-6.0,230.0,230.07824755939012,91.49433359126654,125.84,167.75,-41.91,
74,75,-19.0,235.0,235.76683396949622,94.62237024168424,143.62,184.895,-41.275000000000006,
73,74,-18.0,236.0,236.6854452643846,94.3615726450206,148.7,189.34,-40.640000000000015,
352,352,24.0,-256.0,257.12253887981115,-84.64417495714481,179.18,138.54,40.640000000000015,
77,78,-19.0,230.0,230.7834482799839,94.72240687991575,130.92,171.56,-40.640000000000015,
267,268,192.0,160.0,249.92798962901293,39.80557109226519,115.68,156.32,-40.639999999999986,
119,120,-233.0,-4.0,233.03433223454437,-179.0164780808609,212.2,171.56,40.639999999999986,
121,122,-234.0,-3.0,234.01922997907673,-179.2654789657452,202.04,161.4,40.639999999999986,
389,389,-154.0,105.0,186.38937737972086,145.71312302279105,99.805,59.8,40.00500000000001,
76,77,-19.0,232.0,232.7767170487633,94.68187823639896,134.73,174.1,-39.370000000000005,
219,220,-7.0,232.0,232.1055794245369,91.72822765049855,133.46,171.56,-38.099999999999994,
